p1_ID_MC      p2_ID_MC      p2_ID_TAN2_MC p0_MS_MC      p1_MS_MC      p2_MS_MC      
0.01549       0.000307      0             0.25          0.02731       0.000139      
0.02554       0.000317      0             0             0.0566        0.000224      
0.0332        0.00046       0             0             0.0359        0.0001        
0.04861       0             4.8e-05       0.15          0.02767       0.000121      
