p1_ID_MC      p2_ID_MC      p2_ID_TAN2_MC p0_MS_MC      p1_MS_MC      p2_MS_MC      
0.01547       0.000307      0             0.17          0.02623       0.000104      
0.02566       0.000318      0             0             0.04879       0.000187      
0.03309       0.000455      0             0             0.03319       8.8e-05       
0.04677       0             5.1e-05       0.14          0.02869       7.2e-05       
