rho12      rho13      rho14      rho23      rho24      rho34      
-0.3596    0          -0.2171    0          -0.7795    0          
0.056      0          -0.0782    0          -0.0286    0          
0.0477     0          0.0236     0          0.0203     0          
0.0548     0          0.2874     0          -0.0219    0          
