rho12      rho13      rho14      rho23      rho24      rho34      
-0.7489    0          -0.55      0          0.7785     0          
-0.1955    0          0.0378     0          -0.5037    0          
-0.5271    0          0.1165     0          -0.3418    0          
-0.3891    0          -0.258     0          0.9824     0          
