rho12      rho13      rho14      rho23      rho24      rho34      
-0.1667    -0.1438    -0.1724    0.1656     -0.554     -0.3162    
0.1281     -0.1681    0.0329     -0.0093    0.2609     -0.0555    
-0.474     -0.0562    -0.783     0.5305     0.236      -0.1434    
0.7283     -0.3271    -0.6717    -0.5796    -0.094     0.2953     
