+------------------------------------------------+------------+
|                    Trigger                     | Acceptance |
|               EF_j135_a4tc_EFFS                |    6.0%    |
|             EF_e20_loose_xe20_noMu             |    5.8%    |
|        EF_j75_a4tc_EFFS_xe55_loose_noMu        |    5.8%    |
|               EF_e20_loose_xe20                |    5.7%    |
|                  EF_xs70_noMu                  |    5.5%    |
|                  EF_xe60_noMu                  |    5.5%    |
|                  EF_xs75_noMu                  |    5.3%    |
|   EF_j75_a4tc_EFFS_xe40_loose_noMu_dphijxe03   |    5.2%    |
|         EF_tau29_loose_xs80_loose_noMu         |    5.2%    |
|             EF_g20_loose_xe30_noMu             |    5.0%    |
|                 EF_e15_medium                  |    4.8%    |
|                 EF_e18_medium                  |    4.5%    |
|               EF_xs70_tight_noMu               |    4.5%    |
|             EF_g60_loose_larcalib              |    4.4%    |
|                  EF_g60_loose                  |    4.4%    |
|             EF_j40_fj40_a4tc_EFFS              |    4.4%    |
|             EF_g25_loose_xe30_noMu             |    4.4%    |
|          EF_j135_j30_a4tc_EFFS_dphi04          |    4.2%    |
|            EF_xs75_noMu_L1EM10XS50             |    4.1%    |
|         EF_j135_j30_a4tc_EFFS_L2dphi04         |    4.1%    |
|        EF_tau29_medium_xs80_loose_noMu         |    3.9%    |
|                  EF_g40_tight                  |    3.6%    |
|                  EF_e60_loose                  |    3.5%    |
|                  EF_xe70_noMu                  |    3.4%    |
|                EF_tau125_medium                |    3.4%    |
|             EF_e20_loose_xe30_noMu             |    3.2%    |
|               EF_e20_loose_xe30                |    3.2%    |
|               EF_j180_a10tc_EFFS               |    3.2%    |
| EF_j55_a4tc_EFFS_xe55_medium_noMu_dphi2j30xe10 |    3.1%    |
|                 EF_e20_medium                  |    3.1%    |
|             EF_g40_loose_xs35_noMu             |    3.0%    |
|           EF_je255_NoEF_EFxe45_noMu            |    3.0%    |
|                 EF_e22_medium                  |    2.9%    |
|                 EF_e25_medium                  |    2.8%    |
|        EF_j75_j30_a4tc_EFFS_L2anymct150        |    2.4%    |
|            EF_j100_a4tc_EFFS_ht350             |    2.4%    |
|            EF_g100_etcut_g50_etcut             |    2.3%    |
|            EF_g40_loose_EFxe35_noMu            |    2.3%    |
|         EF_j75_j30_a4tc_EFFS_anymct150         |    2.3%    |
|               EF_j175_a4tc_EFFS                |    2.3%    |
|                  EF_xe80_noMu                  |    2.2%    |
|          EF_j75_2j30_a4tc_EFFS_ht350           |    2.2%    |
|             EF_g80_loose_larcalib              |    2.1%    |
|                  EF_g80_loose                  |    2.1%    |
|               EF_j180_a4tc_EFFS                |    2.0%    |
|              EF_mu4_j10_a4tc_EFFS              |    2.0%    |
|                     EF_mu4                     |    2.0%    |
|                   EF_mu4_j30                   |    1.9%    |
|           EF_tau16_loose_e15_medium            |    1.9%    |
|              EF_mu4_L1J10_matched              |    1.9%    |
|                 EF_e20_medium1                 |    1.7%    |
|            EF_g40_loose_EFxe40_noMu            |    1.7%    |
|            EF_e20_loose_IDTrkNoCut             |    1.7%    |
|              EF_mu4_L1J15_matched              |    1.6%    |
|             EF_g40_loose_xe40_noMu             |    1.6%    |
|          EF_j180_j30_a4tc_EFFS_dphi04          |    1.5%    |
|                  EF_xe90_noMu                  |    1.5%    |
|            EF_e15_medium_xe30_noMu             |    1.5%    |
|              EF_mu4_L1J20_matched              |    1.4%    |
|            EF_j100_a4tc_EFFS_ht400             |    1.3%    |
|        EF_j75_j30_a4tc_EFFS_L2anymct175        |    1.2%    |
|                     EF_mu6                     |    1.2%    |
|         EF_j75_j30_a4tc_EFFS_anymct175         |    1.1%    |
|            EF_e15_medium_xe35_noMu             |    1.1%    |
